dataset,run,AUC_Original,AUC_TopN
census.npz,9,0.6632265099301627,0.689342779072762
census.npz,7,0.6761384851349377,0.6954225337331972
cover.npz,2,0.9039368171054408,0.8736166993006612
cover.npz,3,0.8952452712733626,0.8828788248179972
cover.npz,4,0.9035038757743142,0.8826080198078545
cover.npz,5,0.8681216569213823,0.8700413890483669
cover.npz,6,0.8796342043514668,0.9022920674284224
cover.npz,8,0.8477730173024765,0.8664682735260693
cover.npz,7,0.8902491046430004,0.914696175090738
cover.npz,9,0.905546034771999,0.8766507644643562
fraud.npz,0,0.9428154518869987,0.954182524564461
fraud.npz,1,0.9456910054389749,0.9522951970282589
donors.npz,2,0.7309268281114005,0.7855747639647778
donors.npz,1,0.7203470292981561,0.8018965234260643
donors.npz,0,0.7381102150592032,0.8273246731056446
donors.npz,3,0.7280133527279361,0.8082165819015901
donors.npz,5,0.7311055220415277,0.8109031102204174
donors.npz,4,0.7454344257851465,0.8063331944718313
donors.npz,6,0.7368978602094365,0.8090639532409373
donors.npz,7,0.7409130841479494,0.8274074898861097
fraud.npz,2,0.9464991809582552,0.9523004764410938
fraud.npz,3,0.9445220211922851,0.9487360077687793
donors.npz,8,0.731588816203494,0.8017863557451992
donors.npz,9,0.7317645607465122,0.8189702584722214
fraud.npz,4,0.9429755070988622,0.9527876014651674
fraud.npz,5,0.9400773560872094,0.953749601988748
fraud.npz,6,0.944220540626172,0.953406704661282
fraud.npz,7,0.9437844618408902,0.9554687282184009
fraud.npz,8,0.9431105485456487,0.9558800041291657
fraud.npz,9,0.9432970687355959,0.9540430830112427
insects.npz,0,0.747078499585196,0.7920840202234527
insects.npz,1,0.7493081270733094,0.7737400577497701
http.npz,0,0.9448640853500738,0.9617254322873676
http.npz,1,0.932325761907679,0.9777344522433591
http.npz,2,0.9377994462896786,0.982964572911394
http.npz,3,0.9447935968664747,0.9709477458333811
insects.npz,2,0.7551458989662538,0.7063685726529435
insects.npz,3,0.7539229255195398,0.748940000399104
http.npz,4,0.9729800820339851,0.9385707831234603
